time,2022-11-08 Beg13_MBS_TGr.D,2022-11-08 Beg14_MBS_TGr_4.3.D,2022-11-08 Beg25_SBF_TGr.D,2022-11-08 Beg26_SBF_TGr.D,2022-11-08 Beg27_SBF_TGr_4.3.D,2022-11-08 Beg37_SB_TGr.D,2022-11-08 Beg38_SB_TGr.D,2022-11-08 Beg39_SB_TGr_4.3.D,2022-11-08 Beg61_BfrM_TGr.D,2022-11-11 Beg43_BS_TGr_4.5.D,2022-11-11 Beg44_BS_TGr_4.3.D,2022-11-11 Beg66_BfrM_TGr_4.5.D,2022-11-16 Beg34_SBF_TGr_4.4.D,2022-11-30 Beg36_BfrM_Tgr_5.D,2022-11-30 Beg43_SB_TGr_5.D,2022-12-13 Beg62_BfrM_TGr_4.5.D,2022-12-13 Beg63_BfrM_TGr_4.5.D,2022-12-14 Beg15_MBS_TGr_4.5.D,2022-12-14 Beg16_MBS_TGr_4.5.D,2022-12-14 Beg27_SBF_TGr_4.5.D,2022-12-14 Beg28_SBF_TGr_4.5.D,2022-12-14 Beg39_SB_TGr_4.5.D,2022-12-14 Beg40_SB_TGr_4.5.D,2022-12-14 Beg54_S_TGr_4.5.D,2022-12-14 Beg64_BfrM_TGr_4.5.D,2022-12-14 Beg65_BfrM_TGr_4.5.D,2022-12-15 Beg17_MBS_TGr_4.5.D,2022-12-15 Beg29_SBF_TGr_4.5.D,2022-12-15 Beg41_SB_TGr_4.5.D,2022-12-15 Beg4_SM_TGr_9.D,2022-12-15 Beg55_S_TGr_9.D,2022-12-15 Beg5_SM_TGr_9.D,2022-12-15 Beg66_BfrM_TGr_4.5.D
2.46,264137.28571428574,276564.0,208690.0,299716.875,444470.28571428574,432295.75,331092.71428571426,375417.375,332874.375,258542.14285714287,355681.75,266879.4285714286,514439.75,78717.0,73834.0,56336.625,47939.71428571428,47932.375,43149.625,61644.0,57667.625,55785.857142857145,63189.28571428572,57937.25,45684.75,59183.25,78805.625,65054.42857142857,48208.42857142857,37392.25,48931.0,42934.75,50391.875
2.47,225768.375,269908.5,205383.25,225280.125,264094.125,284077.875,236507.25,353581.4285714286,245959.25,229415.0,347010.0,242778.5,414006.0,73048.5,73688.28571428571,44498.857142857145,44200.125,53526.142857142855,45174.57142857143,66282.57142857143,60067.857142857145,53273.25,62900.625,138233.14285714287,40834.28571428572,53064.42857142857,43339.857142857145,54172.5,48145.375,41938.42857142857,54466.0,43906.28571428572,57883.142857142855
2.48,189161.57142857142,258487.14285714287,193331.14285714287,194377.57142857142,231000.57142857142,257401.2857142857,215341.7142857143,256600.625,233583.2857142857,231336.75,343703.75,254226.75,232223.375,74116.25,80719.125,43732.625,48627.75,55480.75,47858.125,68697.25,54877.375,56366.5,78672.25,283289.75,42969.5,60740.25,39971.625,66255.875,52027.25,44600.25,120815.625,46555.375,69817.25
2.49,176540.375,249253.875,179436.75,188356.75,252065.875,306772.375,221969.375,219580.125,249858.375,236269.57142857142,315808.71428571426,266992.28571428574,181485.7142857143,70631.0,74101.57142857143,43744.42857142857,46785.28571428572,47256.28571428572,40048.857142857145,57112.0,49310.42857142857,50533.42857142857,75189.14285714286,234045.2857142857,41016.57142857143,57362.42857142857,53818.142857142855,77000.0,48584.57142857143,42563.0,211862.2857142857,47582.57142857143,58534.28571428572
2.5,179576.85714285713,245898.14285714287,174828.57142857142,189178.42857142858,274787.5714285714,361608.5714285714,232918.2857142857,218708.0,247323.85714285713,214835.0,289202.0,233229.375,173149.875,61925.0,61241.75,37740.5,42840.125,41228.25,38721.625,51421.125,54803.375,46261.125,56105.125,104909.125,34856.875,46443.75,55559.875,59637.875,41195.125,37110.75,154894.5,42306.375,44512.5
2.51,183621.5,251402.125,197502.875,173426.5,257852.25,283596.875,194736.375,230644.875,221979.625,197062.57142857142,270574.4285714286,206150.7142857143,169669.7142857143,69108.0,61074.42857142857,32561.571428571428,39667.857142857145,97737.85714285714,48045.142857142855,60066.28571428572,121373.28571428571,46592.142857142855,55762.857142857145,63273.0,33990.57142857143,41757.71428571428,44179.142857142855,48707.857142857145,43825.857142857145,33867.0,80647.28571428571,39456.71428571428,41891.28571428572
2.52,170726.125,267571.875,212508.0,166545.0,226078.25,218499.0,179521.5,215899.0,215448.2857142857,189406.0,283530.125,196803.625,154582.75,84180.75,71136.5,38855.375,42580.125,124143.0,72028.25,111928.125,132299.125,88232.375,132191.875,86771.25,38571.875,53559.625,37222.5,52744.375,60959.75,43451.125,57399.125,47591.75,50554.75
2.53,162612.85714285713,301600.0,290710.375,157400.875,223777.85714285713,211011.875,182332.7142857143,195677.875,247943.375,199848.85714285713,324021.71428571426,213771.14285714287,151702.375,104641.57142857143,109678.71428571429,56201.625,54708.57142857143,102097.57142857143,79061.25,107747.375,98199.5,115115.28571428571,140860.0,119536.125,46478.0,67426.85714285714,67173.625,86410.28571428571,103705.0,83433.75,115006.28571428571,144001.0,65982.375
2.54,163259.0,288567.5,309999.125,163825.25,262455.875,337671.875,212836.75,192733.85714285713,352579.125,213689.25,344375.25,231166.5,168461.85714285713,103945.25,105480.125,67494.28571428571,56416.625,75877.5,62194.857142857145,76993.57142857143,70802.71428571429,91558.25,104333.5,96221.14285714286,39870.0,74031.375,118211.14285714286,105390.0,97883.0,91887.0,140669.125,136710.57142857142,65554.14285714286
2.55,181225.14285714287,257883.2857142857,278253.0,183359.0,310198.28571428574,445169.4285714286,273942.5714285714,200774.625,370074.4285714286,223129.25,313181.875,252793.0,228664.5,85562.75,81223.125,54440.25,50315.75,53264.375,51800.125,65508.75,56739.625,66014.625,73081.5,73670.125,37425.0,59784.0,105500.25,79071.25,67183.375,64660.5,104061.25,103855.375,52770.25
